tokenizer	language_script	group	sentences	avg_tokens	tokens_per_word	tokens_per_char	unk_token_pct	single_char_token_pct	byte_token_pct
v5_tokenizer	uig_Arab	head	200	44.430000	2.206058	0.328855	0.000000	19.266262	0.000000
xlmr_base	arb_Arab	head	200	94.465000	5.944934	0.797543	0.000000	82.755518	0.000000
v5_tokenizer	arb_Arab	head	200	34.270000	2.156702	0.289333	0.000000	21.140940	0.000000
xlmr_base	sqi_Latn	head	200	34.780000	1.581268	0.328268	0.000000	21.247844	0.000000
v5_tokenizer	sqi_Latn	head	200	33.815000	1.537395	0.319160	0.000000	20.819163	0.000000
xlmr_base	sin_Sinh	head	200	30.480000	1.902622	0.358483	0.000000	23.556430	0.000000
v5_tokenizer	sin_Sinh	head	200	29.575000	1.846130	0.347839	0.000000	21.622992	0.000000
xlmr_base	msa_Latn	head	200	29.280000	1.504238	0.247894	0.000000	15.112705	0.000000
v5_tokenizer	msa_Latn	head	200	27.855000	1.431030	0.235829	0.000000	15.149883	0.000000
xlmr_base	swh_Latn	head	200	31.800000	1.672364	0.318159	0.000000	15.628931	0.000000
v5_tokenizer	swh_Latn	head	200	28.650000	1.506705	0.286643	0.000000	14.450262	0.000000
xlmr_base	kor_Hang	head	200	35.180000	2.264564	0.692861	0.000000	59.792496	0.000000
v5_tokenizer	kor_Hang	head	200	35.015000	2.253943	0.689611	0.000000	59.345995	0.085678
xlmr_base	ukr_Cyrl	head	200	31.085000	1.908812	0.320811	0.000000	25.462442	0.000000
v5_tokenizer	ukr_Cyrl	head	200	30.170000	1.852625	0.311368	0.000000	25.422605	0.000000
xlmr_base	kir_Cyrl	head	200	35.285000	2.004260	0.311389	0.000000	19.838458	0.000000
v5_tokenizer	kir_Cyrl	head	200	33.405000	1.897472	0.294798	0.000000	19.488101	0.000000
xlmr_base	yid_Hebr	head	200	86.440000	2.136431	0.404738	0.000000	21.384776	0.000000
v5_tokenizer	yid_Hebr	head	200	69.605000	1.720341	0.325912	0.000000	18.942605	0.000000
xlmr_base	heb_Hebr	head	200	17.565000	1.752120	0.406550	0.000000	23.825790	0.000000
v5_tokenizer	heb_Hebr	head	200	17.265000	1.722195	0.399607	0.000000	22.849696	0.000000
xlmr_base	nld_Latn	head	200	21.810000	1.516163	0.295308	0.000000	16.437414	0.000000
v5_tokenizer	nld_Latn	head	200	21.160000	1.470977	0.286507	0.000000	15.359168	0.000000
xlmr_base	fry_Latn	head	200	35.805000	1.847047	0.368725	0.000000	19.159335	0.000000
v5_tokenizer	fry_Latn	head	200	32.830000	1.693578	0.338088	0.000000	18.565337	0.000000
