model_key	model_group	seed	direction	split	side	language	item_id	x	y
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.12	0.06925169	-0.0169564
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.13	0.06907552	-0.03022145
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.14	0.07106784	0.04110892
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.15	0.06863043	0.02802208
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.16	0.06679901	-0.01558426
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.17	0.07084775	-0.00682558
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.18	0.06918385	-0.00403059
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.19	0.06612374	-0.03970683
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.2	0.06627098	0.04569715
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.20	0.069264	-0.02029305
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.21	0.07009668	0.02938449
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.22	0.06874084	-0.00127012
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.23	0.07037936	0.00888148
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.24	0.06907983	-0.00119086
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.25	0.06331977	0.06211876
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.26	0.06866989	-0.04241635
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.27	0.07011874	0.04754459
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.28	0.06705718	-0.03376966
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.29	0.06904004	-0.01920029
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.3	0.0711206	0.04681875
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.30	0.06827185	0.03199319
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.4	0.0661892	0.06926195
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.5	0.06512121	-0.04956133
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.6	0.06679682	-0.0153182
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.7	0.07071389	0.0460423
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.8	0.06993534	0.00611554
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.11.9	0.06786839	-0.00617728
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.1	0.06644816	-5.512e-05
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.10	0.06757817	-0.04060642
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.11	0.06951739	-0.03304522
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.12	0.06607789	-0.02340656
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.13	0.06992094	-0.00689782
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.14	0.07014547	-0.01429723
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.15	0.07061118	-0.01513175
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.16	0.07000775	0.02516543
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.17	0.07027377	-0.0336865
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.18	0.07089078	0.02144687
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.19	0.06629606	-0.01978756
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.2	0.05913959	0.03165928
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.20	0.06915744	-0.04680201
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.21	0.0654311	-0.00966569
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.22	0.07123146	0.02540483
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.23	0.06630855	0.00027767
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.24	0.06868768	0.0731229
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.25	0.0660577	-0.01855906
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.3	0.06594133	-0.009448
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.4	0.06227361	-0.01614153
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.5	0.07055472	0.0263928
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.6	0.0695128	-0.03081533
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.7	0.06882737	-0.04158796
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.8	0.06932117	-0.01584901
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.12.9	0.07109102	-0.02177007
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.1	0.06563016	-0.04741623
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.10	0.0668785	-0.0253239
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.11	0.06563174	-0.04177605
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.12	0.06980646	0.02362425
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.13	0.06617136	-0.02841785
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.14	0.06647445	-0.00519172
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.15	0.06957937	-0.01981356
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.16	0.06938437	-0.01436876
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.17	0.06579553	-0.02160102
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.18	0.06858901	0.08390122
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.19	0.0623509	0.02327207
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.2	0.06863382	-0.01713731
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.20	0.06807335	0.03499226
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.21	0.06951382	-0.01047367
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.22	0.07129999	-0.02713719
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.23	0.07045715	0.0350819
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.24	0.06587365	0.00757468
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.25	0.06773414	-0.03979237
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.26	0.0703143	0.00201143
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.27	0.07089119	-0.02170871
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.28	0.06764236	0.02999528
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.29	0.06915415	0.00048995
fvt_seed13	third_try_fvt	13	cop->syr	final_test	src	cop	b.ACT.13.3	0.07098466	0.04380133
