model_key	model_group	seed	direction	src_lang	tgt_lang	split	score_type	examples	aligned_score_mean	aligned_score_std	hard_negative_score_mean	margin_mean	margin_min	recall_at_1	recall_at_5	mrr	median_rank	hubness_at10_max_rate	hubness_at10_gini
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	csls_k10	678	-0.009644	0.002952	0.002212	-0.011856	-0.027181	0.001475	0.007375	0.010956	332.0	0.99705	0.984604
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	dev	centered_csls_k10	678	-0.426715	0.229793	0.013499	-0.440213	-1.641212	0.00295	0.013274	0.014752	246.0	0.265487	0.852509
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	raw_cosine	1006	0.971087	0.002507	0.979434	-0.008348	-0.020697	0.000994	0.00497	0.007946	495.0	1.0	0.989836
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	centered_cosine	1006	0.034384	0.108348	0.33338	-0.298996	-0.719253	0.000994	0.007952	0.008963	382.0	0.361829	0.950662
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	csls_k10	1006	-0.009154	0.002729	1.2e-05	-0.009165	-0.033519	0.000994	0.00497	0.007795	494.0	0.997018	0.989588
xlmr_base	xlmr_base	baseline	cop->syr	cop	syr	final_test	centered_csls_k10	1006	-0.433017	0.200901	0.02124	-0.454257	-1.335986	0.002982	0.00994	0.009857	400.0	0.315109	0.930082
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	raw_cosine	678	0.972255	0.002848	0.973685	-0.001429	-0.0303	0.001475	0.013274	0.013658	310.0	0.70649	0.960504
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	centered_cosine	678	0.062398	0.133609	0.268704	-0.206305	-0.799103	0.004425	0.014749	0.017571	240.0	0.330383	0.751945
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	csls_k10	678	-0.009644	0.002952	-0.006772	-0.002872	-0.032597	0.00295	0.007375	0.01251	309.0	0.89528	0.972744
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	dev	centered_csls_k10	678	-0.426715	0.229793	-0.089855	-0.33686	-1.529635	0.004425	0.014749	0.016479	244.0	0.20944	0.582212
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	raw_cosine	1006	0.971087	0.002507	0.972881	-0.001794	-0.035562	0.001988	0.006958	0.008988	466.0	0.982107	0.981116
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	centered_cosine	1006	0.034384	0.108348	0.237366	-0.202982	-0.733239	0.001988	0.012922	0.011825	392.0	0.326044	0.868185
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	csls_k10	1006	-0.009154	0.002729	-0.006031	-0.003123	-0.043175	0.001988	0.00497	0.008688	465.0	0.858847	0.979867
xlmr_base	xlmr_base	baseline	syr->cop	syr	cop	final_test	centered_csls_k10	1006	-0.433017	0.200901	-0.085025	-0.347992	-1.259663	0.00497	0.008946	0.012413	414.0	0.172962	0.8006
