model_key	run_name	record_index	step	total_steps	loss	learning_rate	epoch	log_path
v5_random	v5_random_mlm_10k	40	4000	10000	3.3919	3.0030000000000002e-05	0.22	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	41	4100	10000	3.3904	2.9530000000000004e-05	0.23	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	42	4200	10000	3.3733	2.903e-05	0.23	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	43	4300	10000	3.3589	2.853e-05	0.24	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	44	4400	10000	3.343	2.803e-05	0.25	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	45	4500	10000	3.3416	2.753e-05	0.25	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	46	4600	10000	3.3153	2.703e-05	0.26	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	47	4700	10000	3.3224	2.653e-05	0.26	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	48	4800	10000	3.3028	2.603e-05	0.27	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	49	4900	10000	3.2987	2.5530000000000005e-05	0.27	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	50	5000	10000	3.2901	2.5030000000000003e-05	0.28	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	51	5100	10000	3.2802	2.453e-05	0.28	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	52	5200	10000	3.2764	2.4030000000000002e-05	0.29	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	53	5300	10000	3.2638	2.3530000000000003e-05	0.3	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	54	5400	10000	3.2523	2.303e-05	0.3	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	55	5500	10000	3.2399	2.253e-05	0.31	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	56	5600	10000	3.2362	2.203e-05	0.31	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	57	5700	10000	3.2285	2.153e-05	0.32	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	58	5800	10000	3.2235	2.103e-05	0.32	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	59	5900	10000	3.2119	2.053e-05	0.33	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	60	6000	10000	3.2089	2.0030000000000003e-05	0.33	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	61	6100	10000	3.2036	1.953e-05	0.34	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
v5_random	v5_random_mlm_10k	62	6200	10000	3.1941	1.903e-05	0.35	/home/axt/mnt2/jongha/v5_glot50010/runs/logs/train_v5_v5_random_mlm_10k_20260627_005616.log
