metric	model_key	method	local_step	status	updated_at	out_dir	log_file
embedding_similarity	v52_fvt_conv5way_step13000	fvt	13000	done	2026-07-01 16:48:19 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-13000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step13000_20260701_164811.log
family_similarity	v52_fvt_conv5way_step13000	fvt	13000	done	2026-07-01 16:48:39 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-13000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step13000_20260701_164820.log
embedding_similarity	v52_fvt_conv5way_step14000	fvt	14000	done	2026-07-01 16:48:49 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-14000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step14000_20260701_164839.log
family_similarity	v52_fvt_conv5way_step14000	fvt	14000	done	2026-07-01 16:49:08 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-14000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step14000_20260701_164849.log
embedding_similarity	v52_fvt_conv5way_step15000	fvt	15000	done	2026-07-01 16:49:18 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-15000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step15000_20260701_164909.log
family_similarity	v52_fvt_conv5way_step15000	fvt	15000	done	2026-07-01 16:49:38 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-15000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step15000_20260701_164918.log
embedding_similarity	v52_fvt_conv5way_step16000	fvt	16000	done	2026-07-01 16:49:46 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-16000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step16000_20260701_164938.log
family_similarity	v52_fvt_conv5way_step16000	fvt	16000	done	2026-07-01 16:50:06 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-16000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step16000_20260701_164947.log
embedding_similarity	v52_fvt_conv5way_step17000	fvt	17000	done	2026-07-01 16:50:15 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-17000/embedding_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_embedding_similarity_v52_fvt_conv5way_step17000_20260701_165006.log
family_similarity	v52_fvt_conv5way_step17000	fvt	17000	done	2026-07-01 16:50:35 KST	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/10_convergence_similarity/fvt/checkpoint-17000/family_similarity	/home/axt/mnt2/jongha/v5.2_glot5007/runs/logs/convergence_similarity/v52_family_similarity_v52_fvt_conv5way_step17000_20260701_165015.log
