metric	method	local_step	model_key	summary_type	group	pairs	mean_cosine	mean_centered_cosine	source_file
family_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	tail_tail_different_family	tail_anchored	900	0.905629	0.082814	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	tail_tail_same_family	tail_anchored	50	0.944452	0.274918	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	tail_tail_same_macro_family	tail_anchored	100	0.933735	0.156263	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	30000	v52_family_mean_conv5way_step30000	tail_within_language	tail_anchored	350	0.953579	0.483859	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-30000/family_similarity/family_pair_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	aligned_bible_src_eng	all	300	0.914057	0.036597	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	aligned_bible_src_eng	v5_target	300	0.914057	0.036597	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	aligned_tatoeba_src_eng	all	300	0.923867	0.208806	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	aligned_tatoeba_src_eng	v5_target	300	0.923867	0.208806	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	roundtrip_eng_pivot	all	300	0.911608	-0.001320	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	roundtrip_eng_pivot	v5_target	300	0.911608	-0.001320	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	roundtrip_src_eng	all	300	0.910843	0.014584	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	roundtrip_src_eng	v5_target	300	0.910843	0.014584	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	roundtrip_src_pivot	all	300	0.935577	0.340491	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	roundtrip_src_pivot	v5_target	300	0.935577	0.340491	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	same_language_bible_adjacent	all	300	0.978296	0.766604	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	same_language_bible_adjacent	v5_target	300	0.978296	0.766604	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	same_language_tatoeba_adjacent	all	300	0.947586	0.413198	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	same_language_tatoeba_adjacent	v5_target	300	0.947586	0.413198	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/embedding_similarity/similarity_summary.tsv
family_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	tail_head_different_family_different_script	tail_anchored	1856	0.898843	-0.077747	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	tail_head_different_family_same_script	tail_anchored	6100	0.905395	-0.044090	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	tail_head_same_family	tail_anchored	1050	0.926032	0.063745	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	tail_head_same_macro_family	tail_anchored	1550	0.918760	-0.049312	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	tail_tail_different_family	tail_anchored	900	0.905236	0.082366	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	tail_tail_same_family	tail_anchored	50	0.943833	0.279293	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	tail_tail_same_macro_family	tail_anchored	100	0.933180	0.145679	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_pair_summary.tsv
family_similarity	family_mean	40000	v52_family_mean_conv5way_step40000	tail_within_language	tail_anchored	350	0.953707	0.486143	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-40000/family_similarity/family_pair_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	aligned_bible_src_eng	all	300	0.917646	0.043604	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	aligned_bible_src_eng	v5_target	300	0.917646	0.043604	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	aligned_tatoeba_src_eng	all	300	0.926728	0.211494	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	aligned_tatoeba_src_eng	v5_target	300	0.926728	0.211494	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	roundtrip_eng_pivot	all	300	0.915054	0.006781	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	roundtrip_eng_pivot	v5_target	300	0.915054	0.006781	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
embedding_similarity	family_mean	50000	v52_family_mean_conv5way_step50000	roundtrip_src_eng	all	300	0.914374	0.021298	docs/exp/v5.2/3_evaluation/10_convergence_similarity/family_mean/checkpoint-50000/embedding_similarity/similarity_summary.tsv
