model_key	language_script_a	language_script_b	status_a	status_b	family_a	family_b	script_a	script_b	cosine
v52_family_mean_conv5way_step21000	bam_Latn	nld_Latn	tail	head	Mande	Germanic	Latn	Latn	-0.327544
v52_family_mean_conv5way_step21000	bam_Latn	pol_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.454746
v52_family_mean_conv5way_step21000	bam_Latn	por_Latn	tail	head	Mande	Romance	Latn	Latn	-0.491936
v52_family_mean_conv5way_step21000	bam_Latn	ron_Latn	tail	head	Mande	Romance	Latn	Latn	-0.438469
v52_family_mean_conv5way_step21000	bam_Latn	slk_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.394239
v52_family_mean_conv5way_step21000	bam_Latn	slv_Latn	tail	head	Mande	Slavic	Latn	Latn	-0.363813
v52_family_mean_conv5way_step21000	bam_Latn	tgl_Latn	tail	head	Mande	Austronesian	Latn	Latn	0.074114
v52_family_mean_conv5way_step21000	bam_Latn	xav_Latn	tail	tail	Mande	Macro-Je	Latn	Latn	0.319182
v52_family_mean_conv5way_step21000	bam_Latn	xho_Latn	tail	head	Mande	Bantu	Latn	Latn	0.450132
v52_family_mean_conv5way_step21000	cat_Latn	ara_Arab	head	head	Romance	Semitic	Latn	Arab	-0.141760
v52_family_mean_conv5way_step21000	cat_Latn	bam_Latn	head	tail	Romance	Mande	Latn	Latn	-0.308214
v52_family_mean_conv5way_step21000	cat_Latn	cat_Latn	head	head	Romance	Romance	Latn	Latn	1.000000
v52_family_mean_conv5way_step21000	cat_Latn	ces_Latn	head	head	Romance	Slavic	Latn	Latn	0.145508
v52_family_mean_conv5way_step21000	cat_Latn	cmn_Hani	head	head	Romance	Sinitic	Latn	Hani	-0.221842
v52_family_mean_conv5way_step21000	cat_Latn	csb_Latn	head	tail	Romance	Slavic	Latn	Latn	-0.075309
v52_family_mean_conv5way_step21000	cat_Latn	deu_Latn	head	head	Romance	Germanic	Latn	Latn	0.123511
v52_family_mean_conv5way_step21000	cat_Latn	dtp_Latn	head	tail	Romance	Austronesian	Latn	Latn	-0.443766
v52_family_mean_conv5way_step21000	cat_Latn	ell_Grek	head	head	Romance	Hellenic	Latn	Grek	0.194106
v52_family_mean_conv5way_step21000	cat_Latn	eng_Latn	head	head	Romance	Germanic	Latn	Latn	0.140938
v52_family_mean_conv5way_step21000	cat_Latn	epo_Latn	head	head	Romance	Constructed	Latn	Latn	0.294032
v52_family_mean_conv5way_step21000	cat_Latn	est_Latn	head	head	Romance	Uralic	Latn	Latn	-0.058394
v52_family_mean_conv5way_step21000	cat_Latn	fin_Latn	head	head	Romance	Uralic	Latn	Latn	-0.107608
v52_family_mean_conv5way_step21000	cat_Latn	fra_Latn	head	head	Romance	Romance	Latn	Latn	0.620380
